worm genus;a genus of worms
polyzoa;marine or freshwater animals that form colonies of zooids
family gyrinidae;whirligig beetles
genus melospiza;american song sparrow and swamp sparrow
demochelys;type genus of the dermochelyidae: leatherback turtles
genus carphophis;thunder snake
acoraceae;used in some classifications for the genus acorus which is usually assigned to araceae
araucariaceae;tall evergreen cone-bearing trees of south america and australia with broad leathery leaves. in some classifications included in the pinaceae
family styracaceae;a widely distributed family of shrubs and trees of order ebenales
genus thalictrum;widely distributed genus of perennial herbs: meadow rue
family bovidae;true antelopes. cattle. oxen. sheep. goats
order berycomorphi;an order of spiny-finned fish in the superorder acanthopterygii
myricales;coextensive with the family myricaceae
genus notoryctus;type genus of the family notoryctidae: comprising solely the marsupial mole
genus baccharis;shrubs of western hemisphere often having honey-scented flowers followed by silky thistlelike heads of tiny fruits. often used for erosion control
strigiformes;owls
african millet;east indian cereal grass whose seed yield a somewhat bitter flour, a staple in the orient
genus mya;type genus of the family myacidae
genus osmunda;type genus of the osmundaceae
genus tragulus;type genus of the tragulidae
manilkara;genus of large evergreen trees with milky latex. pantropical
genus vorticella;ciliates
hackelia;stickseed. beggar's lice
family crangonidae;shrimps
siluridae;old world catfishes
family anarhichadidae;wolffishes
genus pseudococcus;type genus of the pseudococcidae
pomacentrus;type genus of the pomacentridae: damselfishes
family casuaridae;a family of large ostrich-like birds including cassowaries
decumaria;small genus of woody climbers with adhesive aerial roots. sometimes placed in family saxifragaceae
dasyurus;type genus of the family dasyuridae: native cats
euryale;basket stars
amaranth family;cosmopolitan family of herbs and shrubs
genus peltandra;small genus of north american marsh or aquatic herbs
genus chrysopsis;golden aster
ebenaceae;fruit and timber trees of tropical and warm regions including ebony and persimmon
bangiaceae;a family of protoctista
genus tofieldia;genus of perennial herbs of cool temperate regions. sometimes placed in family melanthiaceae
ciconiidae;storks
jacksonia;genus of yellow-flowered australian unarmed or spiny shrubs without true leaves but having leaflike stems or branches
family petromyzontidae;lampreys
haminoea;common genus of marine bubble shells of the pacific coast of north america
tectaria;terrestrial or epilithic ferns of tropical rain forests
genus thuja;red cedar
arecidae;one of four subclasses or superorder of monocotyledones. comprises about 6400 species in 5 families of trees and shrubs and terrestrial herbs and a few free-floating aquatics including: palmae. araceae. pandanaceae: and lemnaceae
genus chimonanthus;small genus of asian deciduous or evergreen shrubs having fragrant flowers: winter_sweet
order polymastigina;small usually parasitic flagellates
radiigera;a genus of fungus belonging to the family geastraceae
genus mandrillus;baboons
alcea;genus of erect herbs of the middle east having showy flowers: hollyhocks. in some classification systems synonymous with althea
actaea;baneberry
tachyglossidae;echidnas
thomomys;western pocket gophers
suborder reptantia;lobsters. crabs
ascaris;type genus of the family ascaridae: roundworms with a three-lipped mouth
hipposideridae;old world leafnose bats
order solenogastres;an order of amphineura
genus coriandrum;small genus of annual mediterranean herbs
ligustrum;genus of old world shrubs: privet
family rheidae;a family of birds coextensive with the order rheiformes
grass tree family;one of many subfamilies into which some classification systems subdivide the liliaceae but not widely accepted
genus myricaria;small genus of deciduous shrubs or subshrubs of southern europe to siberia and china. tolerant of chalky soil
buceros;type genus of the family bucerotidae
lophiidae;large-headed marine fishes comprising the anglers
avicenniaceae;used in some classifications: coextensive with the genus avicennia
belemnitidae;family of extinct mesozoic cephalopods
family microhylidae;narrow-mouthed toads and sheep frogs. some burrow and some are arboreal. found worldwide
gekkonidae;geckos
suborder brachyura;an order of crustaceans (including true crabs) having a reduced abdomen folded against the ventral surface
genus sphaeralcea;large genus of chiefly tropical herbs with showy flowers and mostly globose fruits: globe mallows
genus cebus;type genus of the cebidae
genus menyanthes;the type genus of the menyanthaceae. one species: bogbeans
order primates;an animal order including lemurs and tarsiers and monkeys and apes and human beings
family carapidae;pearlfishes: related to the brotulidae
meadow beauty family;a family of trees and bushes and herbs of order myrtales. many are cultivated as ornamentals
parophrys;a genus of soleidae
phycomycetes group;a large and probably unnatural group of fungi and funguslike organisms comprising the mastigomycota (including the oomycetes) and zygomycota subdivisions of the division eumycota. a category not used in all systems
teiidae;whiptails. etc.
cyclopteridae;lumpfishes
family dromaeosauridae;swift-running bipedal dinosaurs
elephantidae;elephants
genus numenius;curlews
antedon;a genus of echinoderms of the family antedonidae. formerly called genus comatula
gutierrezia;sticky perennial herbs and subshrubs of western north america and warm south america
class heterokontae;all the yellow-green algae having flagella of unequal length
schefflera;large genus of shrubby and climbing tropical plants having showy digitately compound foliage
blennius;type genus of the blenniidae
polyangium;type genus of the family polyangiaceae: myxobacteria with rounded fruiting bodies enclosed in a membrane
family colubridae;nonvenomous snakes. about two-thirds of all living species
order primulales;primulaceae. theophrastaceae. myrsinaceae. and (in some classifications) plumbaginaceae
order laminariales;in some classifications coextensive with family laminariaceae: marine brown algae of cold or polar seas
pinus;type genus of the pinaceae: large genus of true pines
benzoin;used in some classifications for the american spicebush and certain other plants often included in the genus lindera
peristediinae;in some classifications considered a subfamily of triglidae comprising the armored searobins
arenaria;turnstones
genus xanthosoma;tropical american tuberous perennials
family branchiostomidae;lancelets
subfamily gerbillinae;gerbils
sagittariidae;secretary birds
rumohra;leatherleaf ferns: in some classifications included in genus polystichum
ophiodon;a genus of ophiodontidae
genus dictostylium;genus of slime molds that grow on dung and decaying vegetation
danaidae;small family of usually tropical butterflies: monarch butterflies
genus leptarrhena;1 species: leatherleaf saxifrage
papaveraceae;herbs or shrubs having milky and often colored juices and capsular fruits
genus hemachatus;ringhals
selaginellaceae;lesser clubmosses: terrestrial chiefly tropical plants resembling mosses
calycophyllum;medium to large tropical american trees having shiny reddish-brown shredding bark
eleusine coracana;east indian cereal grass whose seed yield a somewhat bitter flour, a staple in the orient
podargus;type genus of the podargidae
subclass arecidae;one of four subclasses or superorder of monocotyledones. comprises about 6400 species in 5 families of trees and shrubs and terrestrial herbs and a few free-floating aquatics including: palmae. araceae. pandanaceae: and lemnaceae
genus spirochaeta;type genus of the family spirochaetaceae. flexible undulating chiefly aquatic bacteria
trifolium;any leguminous plant having leaves divided into three leaflets
family polypodiaceae;ferns: a large genus that in some classification systems has been subdivided into the families: aspleniaceae. blechnaceae. davalliaceae. dennstaedtiaceae. dryopteridaceae. nephrolepidaceae. oleandraceae. pteridaceae. vittariaceae. includes genera aglaomorpha. anarthropteris
genus sabbatia;genus of smooth slender north american herbs with showy flowers
family anatidae;swimming birds having heavy short-legged bodies and bills with a horny tip: swans. geese. ducks
genus raphia;feather palm of tropical africa and madagascar and central and south america widely grown for commercial purposes
genus calopogon;terrestrial orchids of north america
burseraceae;resinous or aromatic chiefly tropical shrubs or trees
babyrousa;a genus of suidae
genus picoides;a genus of picidae
strix;owls lacking ear tufts
crocodylia;crocodiles. alligators. caimans. gavials
genus uintatherium;type genus of the uintatheriidae. extinct large herbivorous ungulates somewhat resembling elephants. from the eocene in wyoming
