tightfistedness;extreme stinginess
lawlessness;illegality as a consequence of unlawful acts
overlap;the property of partial coincidence in time
defencelessness;the property of being helpless in the face of attack
tidiness;the trait of being neat and orderly
old rose;a greyish-pink color
hue;the quality of a color as determined by its dominant wavelength
amplification;the amount of increase in signal power or voltage or current expressed as the ratio of output to input
import;having important effects or influence. 'decisions of great consequence are made by the president himself'. 'virtue is of more moment that security'
humanness;the quality of being human
maleness;the properties characteristic of the male sex
ruby;a deep and vivid red
sapphire;a light shade of blue
malleability;the property of being physically malleable. the property of something that can be worked or hammered or shaped under pressure without breaking
bullheadedness;resolute adherence to your own ideas or desires
infeasibility;the quality of not being doable
agreeableness;a temperamental disposition to be agreeable
melodiousness;the property of having a melody
venturesomeness;the trait of being adventurous
unwiseness;the trait of acting stupidly or rashly
sunniness;lightness created by sunlight
perspicacity;the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
sissiness;the trait of being effeminate (derogatory of a man)
reins;power to control. 'the reins of government'
radiancy;the quality of being bright and sending out rays of light
boastfulness;outspoken conceit
doggedness;persistent determination
zen buddhism;doctrine that enlightenment can be attained through direct intuitive insight
praisworthiness;the property of deserving praise
impiousness;unrighteousness by virtue of lacking respect for a god
raw sienna;a medium to dark tan color
paganism;any of various religions other than christianity or judaism or islamism
color;a visual attribute of things that results from the light they emit or transmit or reflect. 'white is the coolest summer color'
deadliness;the quality of being deadly
heartiness;the quality of hearty sincerity
valiancy;the qualities of a hero or heroine. exceptional or heroic courage when facing danger (especially in battle). 'he showed great heroism in battle'. 'he received a medal for valor'
r;the length of a line segment between the center and circumference of a circle or sphere
lure;qualities that attract by seeming to promise some kind of reward
indirectness;having the characteristic of lacking a true course toward a goal
neighbourliness;a disposition to be friendly and helpful to neighbors
control;power to direct or determine: 'under control'
scandalousness;disgracefulness that offends public morality
row;a continuous chronological succession without an interruption. 'they won the championship three years in a row'
sliminess;the quality of being disgusting to the senses or emotions
cut price;a price below the standard price
rusticity;the quality of being rustic or gauche
carmine;a variable color averaging a vivid red
plentitude;a full supply. 'there was plenty of food for everyone'
bilaterality;the property of being symmetrical about a vertical plane
interest;a reason for wanting something done. 'for your sake'. 'died for the sake of his country'. 'in the interest of safety'. 'in the common interest'
tiresomeness;dullness owing to length or slowness
caution;the trait of being circumspect and prudent
ghastliness;the quality of being ghastly
unsavoriness;extreme unpalatability
pizzaz;a activeness of an energetic personality
roundedness;the property possessed by a rounded convexity
thickness;used of a line or mark
transparency;the quality of being clear and transparent
degree;an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study. 'he earned his degree at princeton summa cum laude'
