alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
whole milk;milk from which no constituent (such as fat) has been removed
storax;a vanilla-scented resin from various trees of the genus styrax
antibody;any of a large variety of immunoglobulins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response
bayberry wax;a fragrant green wax obtained from the wax myrtle and used in making candles
congo copal;copal found usually as a fossil
milk;the milk of a goat
cardiac glucoside;obtained from a number of plants and used to stimulate the heart in cases of heart failure
sodium thiosulphate;a compound used as a fixing agent in photographic developing
cup;punch served in a pitcher instead of a punch bowl
apple juice;bottled juice of apples
carbonado;an inferior dark diamond used in industry for drilling and polishing
limewater;solution of calcium hydroxide in water used as an antacid
glycol;any of a class of alcohols having 2 hydroxyl groups in each molecule
paraffin;british usage
potion;a medicinal or magical or poisonous beverage
ferrocerium;a pyrophoric alloy of iron with cerium. used for lighter flints
ginger ale;ginger-flavored carbonated drink
acetaldol;an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde
lead;a soft heavy toxic malleable metallic element. bluish white when freshly cut but tarnishes readily to dull gray. 'the children were playing with lead soldiers'
fusible metal;an alloy with a low melting point and used as solder and in safety plugs and sprinkler fuses
tl;a soft gray malleable metallic element that resembles tin but discolors on exposure to air. it is highly toxic and is used in rodent and insect poisons. occurs in zinc blende and some iron ores
atomic number;an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond. occurs in all organic compounds
alpha brass;a brass-zinc alloy. used mainly for cold working
potash alum;a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum
essential amino acid;an amino acid that is required by animals but that they cannot synthesize. must be supplied in the diet
unq;a radioactive transuranic element which has been synthesized
u;a heavy toxic silvery-white radioactive metallic element. occurs in many isotopes. used for nuclear fuels and nuclear weapons
butanoic acid;an unpleasant smelling fatty acid found especially in butter
malonylurea;a white crystalline acid derived from pyrimidine. used in preparing barbiturate drugs
nitrogen mustard;a toxic compound resembling mustard gas in structure. important in cancer treatment
uranium;a heavy toxic silvery-white radioactive metallic element. occurs in many isotopes. used for nuclear fuels and nuclear weapons
cyanuramide;a white crystalline organic base. used mainly in making melamine resins
thiouracil;depresses the function of the thyroid gland
lysergic acid;a crystalline acid often used in medical research. obtained from ergotic alkaloids
cultivated land;land that is worked by plowing and sowing and raising crops
ar;a colorless and odorless inert gas. one of the six inert gases. comprises approximately 1% of the earth's atmosphere
1 dodecanol;an insoluble solid alcohol used to make detergents
bk;a radioactive transuranic element. discovered by bombarding americium with helium
certified milk;from dairies regulated by an authorized medical milk commission
carbonic acid gas;a heavy odorless colorless gas formed during respiration and by the decomposition of organic substances. absorbed from the air by plants in photosynthesis
ba;a soft silvery metallic element of the alkali earth group. found in barite
gelatin;a colorless water-soluble glutinous protein obtained from animal tissues such as bone and skin
seawater;water containing salts. 'the water in the ocean is all saltwater'
rosin;any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
muscadelle;wine from muscat grapes
triphosphoric acid;an acid that is a partial anhydride of three molecules of phosphoric acid. known chiefly in the form of its salts and esters
wood s metal;a fusible bismuth-base alloy. melts at about 160 degrees fahrenheit
mead;made of fermented honey and water
tetraethyl lead;a clear oily poisonous liquid added to gasoline to prevent knocking
rb;a soft silvery metallic element of the alkali metal group. burns in air and reacts violently in water. occurs in carnallite and lepidolite and pollucite
ho;a trivalent metallic element of the rare earth group. occurs together with yttrium. forms highly magnetic compounds
lime;a caustic substance (ca(oh)2) produced by heating limestone
calcium octadecanoate;an insoluble calcium salt of stearic acid and palmitic acid. it is formed when soap is mixed with water that contains calcium ions and is the scum produced in regions of hard water
bitter principle;any one of several hundred compounds having a bitter taste. not admitting of chemical classification
printing ink;an ink made especially for use in printing
sodium nitrate;(nano3) used especially as a fertilizer and explosive
acetone;a highly inflammable liquid ketone widely used as an organic solvent and as material for making plastics
atp;a a nucleotide derived from adenosine that occurs in muscle tissue. the major source of energy for cellular reactions
salmon oil;a fatty oil obtained from the wastes in canning salmon. used in making soap and dressing leather
misch metal;a pyrophoric alloy made from a mixture of rare-earth metals
maleic acid;a colorless crystalline compound found in unripe fruit (such as apples or tomatoes or cherries) and used mainly to make polyester resins
cresol;any of three poisonous colorless isomeric phenols. derived from coal or wood tar. used as a disinfectant
ski wax;wax used on the bottom of skis
cysteine;an amino acid containing sulfur that is found in most proteins. oxidizes on exposure to air to form cystine
green gold;a gold alloy (at least 14 karat gold with silver or silver and cadmium) that has a green appearance
vanadium steel;steel alloyed with vanadium for greater strength and high-temperature stability
mimosa;a mixed drink containing champagne and orange juice
italian vermouth;sweet dark amber variety
tartaric acid;an acid found in many fruits. used in soft drinks and confectionery and baking powder
allyl resin;a resin derived from allyl alcohol that hardens when cured. used as an adhesive
slivovitz;hungarian plum brandy
drink;any liquid suitable for drinking: 'may i take your beverage order?'
lithium;a soft silver-white univalent element of the alkali metal group. the lightest metal known. occurs in several minerals
immunoglobulin;a class of globulins produced in lymph tissue in vertebrates and that function as antibodies in the immune response
phenolic;a thermosetting resin
